song_name,genre,target_mood,uri
You're Now Tuning Into 66.6 FM With DJ Rapture (The Hottest Hour Of The Evening),Dark Trap,Happy,spotify:track:3cQPyVlnrmmWU5fQJxl0q9
Slip On A Banana Clip,Dark Trap,Energized,spotify:track:2wzpr7E2FkOISAbYQOtPmZ
A Death In The Ocean Would Be Beautiful,Dark Trap,Energized,spotify:track:7EnGzsqQi0bAVGQw8i4WIQ
Shattered Amethyst,Dark Trap,Calm,spotify:track:3mRBSk7h2Vr0D0yott8VhC
Goosebumps,Dark Trap,Energized,spotify:track:7ae2GdeXS5Tvo5RvdNwgaz
Venom,Dark Trap,Energized,spotify:track:7tUXZgLbOCvRJ9FBlairoU
Bury Me,Dark Trap,Happy,spotify:track:7m1oRKYiZCfuKXRMWGefWR
Hack Slash,Dark Trap,Happy,spotify:track:1AADsJz09BwnKW4yYFQwXU
2000 Rounds,Dark Trap,Calm,spotify:track:5zjdL4aLh3D3wOKeRkZSL6
Sea Sick,Dark Trap,Energized,spotify:track:1e0HLyx0SlmAhwTm2un9ft
Grain,Dark Trap,Happy,spotify:track:0SbKWYPENsANEIIgnCK45e
"Beware, the Sirens",Dark Trap,Happy,spotify:track:1k31A67B0r2PDytoPR283x
Kali Yuga,Dark Trap,Energized,spotify:track:7vNYfMAh3bvHGmRxve1YAg
Hexada,Dark Trap,Happy,spotify:track:4Ao4XHlqBTKsCil8R6e8fD
Caligula,Dark Trap,Calm,spotify:track:6rF4PCqJq0p4MAWgecwfIl
Niagara (feat. Lil Peep),Dark Trap,Calm,spotify:track:0K1fOHUHEsv1lnq2yU1VG5
Scrying Through Shattered Glass,Dark Trap,Happy,spotify:track:5dBP9gDiDlsXiitxvB4HGb
Polaris,Dark Trap,Calm,spotify:track:0kHEr6iF9m7mrkTjv9pbZ6
Rapture,Dark Trap,Energized,spotify:track:5twSsmNWVzQ5VNA6GzwtHn
Blackmage,Dark Trap,Happy,spotify:track:7lnCmYYscC0mijoPe3Blx8
Tartarus,Dark Trap,Energized,spotify:track:4Qwnjgav8p1B2F1EgcMQRW
Until the Light Takes Us,Dark Trap,Calm,spotify:track:73IDzojzHitmvwVovPG7V2
As Above so Look out Below,Dark Trap,Happy,spotify:track:0FP2R9giDksk3a1GUQLfOz
Swan,Dark Trap,Happy,spotify:track:1PeIKwD4ifLR2jYWCsUgnX
Sneak Diss (feat. So6ix),Dark Trap,Energized,spotify:track:0efgEM1LQDbK43rqPH2Iyd
Plague Doctor Mask,Dark Trap,Happy,spotify:track:3lTAwJ7GAsm6mFkRejOXIm
Some of Us May Never See the World,Dark Trap,Calm,spotify:track:2U03OmZKC7YIPkYBgJnJfA
Filth,Dark Trap,Happy,spotify:track:3jnTBMdckWNzC7PJV96kQ1
Homecoming,Dark Trap,Happy,spotify:track:164uPGiUKnYHwJOHcgfy1e
Blood,Dark Trap,Energized,spotify:track:1j82fFDqVM2Sgb8tfMidBv
Sweat,Dark Trap,Energized,spotify:track:05ConZJSdJrCGeurdurJ7m
Tears,Dark Trap,Energized,spotify:track:6dCuGVBOQmVNEbRIDEUHy0
Anabolic,Dark Trap,Happy,spotify:track:0vWwLLUSleBmyBGmL5GbLv
HDMI,Dark Trap,Calm,spotify:track:2JUs4EVimq0ShpPeIgeokl
Dirt,Dark Trap,Energized,spotify:track:1LpFxoC3TDeUSjU2qp3Iu1
Oxygen,Dark Trap,Calm,spotify:track:3MAfAtD9lKvugbWzaz21LS
Branches,Dark Trap,Calm,spotify:track:63biRmMYSLjClGv5arakyn
CtrlAltDelete,Dark Trap,Calm,spotify:track:5m5aCXvh8q8fBNcGzneWQt
BlastZone (ЗонаПоражения),Dark Trap,Energized,spotify:track:6YhDanPMUpBxzIOB8jlgOG
CharacterSelect (ВыборПерсонажа),Dark Trap,Calm,spotify:track:37fcOImXwKOFOUwKYud0W0
RestInPeace (Prod. by The Virus And Antidote),Dark Trap,Happy,spotify:track:12WAcEcT03Hkvdwb343fcU
BlackMold,Dark Trap,Calm,spotify:track:4Ms7qEi3z5qNjpD41OWHhf
Toxin,Dark Trap,Calm,spotify:track:3sRfyb4OsHeKhN9yMmXdPz
Electric,Dark Trap,Happy,spotify:track:6IBsaKAy1kDhsqDK9niOht
Cranium,Dark Trap,Happy,spotify:track:0zltCbKuXQlZi0DHEli83W
Friday,Dark Trap,Energized,spotify:track:4a9j7bIg4BT9J87pQT7b8j
Hooky,Dark Trap,Calm,spotify:track:1RlZcBrZ2215I0RIS5ElT0
Kalaxian Crystals,Dark Trap,Calm,spotify:track:7EuMuKPHTUKw97m0KJHbtx
Slurp,Dark Trap,Energized,spotify:track:69m28mCqbgVcDI8GEkUzWw
BROKE ft. Prohibeo,Dark Trap,Energized,spotify:track:0yOvaZL3DVgvYjzYKfilSF
Lies,Dark Trap,Calm,spotify:track:33wSeazReUjdpjlpG2O7gI
Terry McGinnis,Dark Trap,Energized,spotify:track:6NGpZZYR8pzj7jo6oc2icJ
Gremlin,Dark Trap,Happy,spotify:track:3YmPKPB5B6bfCZYgF0wmiq
Giant Squit,Dark Trap,Energized,spotify:track:7l6Wb98Dnxb5n1ufADNHLa
You Are Not Like Us,Dark Trap,Happy,spotify:track:1ojp0kfnXyRvr5cemuU0qD
Arachnids,Dark Trap,Energized,spotify:track:01gihn8zKrwsafKnD3UGDz
Give Ah Fuck,Dark Trap,Happy,spotify:track:5WY9OTNkgX1Sd1WluZL77F
Death Wish,Dark Trap,Happy,spotify:track:6xPjbdiUqIqM3uD1B0JA1o
Allergies,Dark Trap,Energized,spotify:track:5X5Kd4ULRLE5Rd7p8tmahp
Cut Throat,Dark Trap,Calm,spotify:track:11eVByVk8tL0JSBFlvan5i
Memoirs of a Gorilla,Dark Trap,Happy,spotify:track:21cGO6AxAJJDTV7Po9ywZa
Benz Truck (гелик),Dark Trap,Happy,spotify:track:1Xy9svIXQU6euAlGi7uutt
Norf Norf,Dark Trap,Calm,spotify:track:7ksRhRXztNfSwm8W7uFq1f
Dat $tick,Dark Trap,Calm,spotify:track:6IkCht32pbDskKd8NWzWBF
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",Dark Trap,Calm,spotify:track:6kl1qtQXQsFiIWRBK24Cfp
Crazy,Dark Trap,Happy,spotify:track:5Uj6Zy5QoGdEZob7xRUakV
Still Cold / Pathway Private,Dark Trap,Calm,spotify:track:6oBL8TdQHEO7jeEdqECg37
The Chills,Dark Trap,Energized,spotify:track:3RAMLlYnwk3CObaU4V4RBx
Slip on a Banana Clip,Dark Trap,Energized,spotify:track:7m1p5O2UOyQM14DVIZUwGx
Lights,Dark Trap,Energized,spotify:track:6lsxMdXKFAXZDPe8om1iOI
Akina Speed Star,Dark Trap,Calm,spotify:track:0FmrNFYyLLRtIS7XWJPLLk
Big Fish,Dark Trap,Calm,spotify:track:6eL1ncVDtQHgSm3E288TS7
The Bodies Fall Just Like the Leaves,Dark Trap,Energized,spotify:track:27H0ZfxRxOC97n72akzapS
Story: No Title,Dark Trap,Happy,spotify:track:6jSvKhj9D9tXTgiyOHhYn8
P.S Fuck You Cunt (feat. Lil Peep),Dark Trap,Calm,spotify:track:3Bo3lNVQTtZYMCoItX8dKW
Torch,Dark Trap,Energized,spotify:track:40zwfL4MFqa3LN5Cauu70u
"Buff Squad (feat. Pouya, Shakewell & Germ)",Dark Trap,Calm,spotify:track:6fMIRwUAU2Zyb2IaMGiyAg
Sarcophagus III (feat. $Uicideboy$),Dark Trap,Energized,spotify:track:1uDtlAvSiXgktRJjA8LpWC
Virginia Tech,Dark Trap,Energized,spotify:track:2XT4tF5bnKqmxZi6rxN43d
Lte,Dark Trap,Calm,spotify:track:177BasCdDuPYuv0E0Ujbqs
Fuckthepopulation,Dark Trap,Calm,spotify:track:0AANzyXvGrG0buJ8bksZyt
Gloss of Blood,Dark Trap,Calm,spotify:track:2ww1CemCVpqs9sQXO9jfN2
100K,Dark Trap,Calm,spotify:track:4kBrbBGK0vLW1CihB20Qtq
Dark Light,Dark Trap,Calm,spotify:track:7Cye3UbCA6UNuDykdCf3AB
"But Wait, There's More (feat. $uicideBoy$)",Dark Trap,Energized,spotify:track:35su7ZktjYPHSIUSKlr7XD
Great Influence,Dark Trap,Energized,spotify:track:4zoYSZrDb3EUPWlDi2OwAC
It Don't Matter,Dark Trap,Energized,spotify:track:44X2fcZQhyywsHTmvbS5zY
absolute in doubt,Dark Trap,Energized,spotify:track:7yZBKFxnmoHLJFhAy2BBlo
Boss,Dark Trap,Energized,spotify:track:4CHp6dRZTeFAu4bSOxfH7Y
Look at Me Now,Dark Trap,Calm,spotify:track:46eK1kembooWblMi7M7yLM
Bulletproof,Dark Trap,Happy,spotify:track:4mx0eNjjZUyOzfY3I4P9HD
Contraband,Dark Trap,Energized,spotify:track:6lt8N5nSY1EaiyeDRAIwcW
Deira City Centre,Dark Trap,Happy,spotify:track:3PcrNUFsSYnkJJNE6roBKl
Kyoto,Dark Trap,Calm,spotify:track:2djY65hifu2a4R2WqcXqKL
Pull Out Game,Dark Trap,Energized,spotify:track:2KSFen8RLeGFqBQ8Dfx1gU
Bird Is The Word,Dark Trap,Calm,spotify:track:3f9xcqxIGsm85RFjGEG2W9
Life Is Short,Dark Trap,Calm,spotify:track:7t2eWdGWBTAxaXxaGqq9ts
Here We Go Again,Dark Trap,Energized,spotify:track:1hXn4XPjJ40toZWl2bWYZu
Bloodshed,Dark Trap,Happy,spotify:track:4DgImhJ5lY30bQdY6zVsb4
Wassup Bro!,Dark Trap,Calm,spotify:track:4zIMuGSdbGTahvHB7CloVR
ACT 2 - BirthOfTheSpaceGod,Dark Trap,Happy,spotify:track:1rr9KQgLpdA8gN307EufaA
Grey Tee,Dark Trap,Happy,spotify:track:0NeiQDX41fUCbSVkek4qBQ
Sleeping Bag,Dark Trap,Calm,spotify:track:2os38o5E7NoO4B2cx42h5V
Afterlife,Dark Trap,Calm,spotify:track:4rLltALU0JVawcOAA88bnQ
King Cobra (Drippin'),Dark Trap,Energized,spotify:track:0cITCVs87JVapD98fVnj7X
Heart Attack,Dark Trap,Happy,spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ
Chain$Aw,Dark Trap,Energized,spotify:track:3STThGLjuFSaoseZvWupmx
"King, Scar.",Dark Trap,Happy,spotify:track:3IIArPxV2jUXk2zTKbzCVx
P.T.S.D,Dark Trap,Happy,spotify:track:44AH8XwgrebHvQAZJbSrsV
Brand New,Dark Trap,Energized,spotify:track:3whnCBcKgmEstjzv3Kxruh
Jukai,Dark Trap,Energized,spotify:track:0Z9sJ77J6qKd2HYv32ynUS
Philosopher's Throne,Dark Trap,Energized,spotify:track:25EQ1EYpBTC26cRRoiLsTf
PRBLMS,Dark Trap,Happy,spotify:track:2wf9bp4MkChojtljddWpbO
Back At It,Dark Trap,Calm,spotify:track:5GxLshYIBBgkrW4a9aUVn0
Fuck a Hoe (feat. $Uicideboy$),Dark Trap,Energized,spotify:track:6Ikh2kZIzZ2GEKpZfrV3D3
Broken,Dark Trap,Calm,spotify:track:1mWYAMktr6Ggh9paVLyc69
3 Xans,Dark Trap,Energized,spotify:track:6AK1RhuJ2zNxPO15SGtRsf
LoyaltyRunsDeepInDaLongRun,Dark Trap,Energized,spotify:track:6Y80EzVMJjFp9Yxy50SN7D
Skywalker,Dark Trap,Energized,spotify:track:0UzDPAMBI8miCHsYoqRb7g
White Wine,Dark Trap,Energized,spotify:track:3Q241k92c1I5sqKbdw6Ujb
Smoke Break,Dark Trap,Energized,spotify:track:0Tts40MjmgraglRVSaggue
Louis V,Dark Trap,Calm,spotify:track:5O7aJIOY5BWvpCkQo23092
Fuck A Swisher,Dark Trap,Calm,spotify:track:4MrtFJI2CDTRJs9FXpBdGo
RampartRange,Dark Trap,Energized,spotify:track:3DzuPzpdZtn3oFVZ9gcy0M
Floor 555,Dark Trap,Energized,spotify:track:6r7ULK6c5CLVvImjTIztl1
Plug Walk,Dark Trap,Calm,spotify:track:6mAz8D1TmlTuef90dbNIiZ
Haunt U,Dark Trap,Calm,spotify:track:6fxWseQSRKOF2nfkGbaJWO
Buttcheeks,Dark Trap,Calm,spotify:track:694J4C7mBU2dWxQBphFslt
Back off Me,Dark Trap,Energized,spotify:track:0kVivrCfN1ffLCno8z2TAJ
Intro.Desolation,Dark Trap,Happy,spotify:track:4uVrs1SNb31FknIkIOTF9t
The Singularity,Dark Trap,Happy,spotify:track:11NHApIN2R0DZJDypPYeFJ
D(R)Ead,Dark Trap,Happy,spotify:track:2jUav7K1nwfKyVosT94ACA
Trench Coat,Dark Trap,Calm,spotify:track:67lnnsYIuwF3cFmweH0DgS
"I've Seen Satan, He Has Dreadlocks",Dark Trap,Happy,spotify:track:0l2wHmelVoDebG5b3guSp6
Your Desire,Dark Trap,Calm,spotify:track:263xCtrMwyZsXxYcibwNEk
Byberry,Dark Trap,Energized,spotify:track:1T6ahdAqK73fZ7UaN8lLMQ
Benadrylled,Dark Trap,Energized,spotify:track:15IO0wZKmtlASLBVAv2DbA
Dream Journal,Dark Trap,Calm,spotify:track:5bjvEzg9fG68IRMSrkVSot
Hannah Baker,Dark Trap,Calm,spotify:track:6aksxALGxEL6kOOvITALIm
20k,Dark Trap,Happy,spotify:track:5LuB8k1xvs3cWKTgg7fM6l
Whatever,Dark Trap,Energized,spotify:track:34eGYn0anbn2aEgdos5IBY
Nightstalker,Dark Trap,Calm,spotify:track:5R2pG7PUaEelpscZrA814W
Headfuck,Dark Trap,Calm,spotify:track:5XGeOySEuf66LxJoVqzfeW
sleep at night,Dark Trap,Happy,spotify:track:16We63cC503m1TMVeZlrvL
Pulling Teeth,Dark Trap,Calm,spotify:track:0xWggLjkf1hLZB5cZP874Q
AI,Dark Trap,Happy,spotify:track:4OcxBd349UIgErVz81V2TY
Lazaretto,Dark Trap,Happy,spotify:track:4BkM0A2FwgLB8Av8fKLMzg
coordinate,Dark Trap,Energized,spotify:track:7pas6O1LYbaeChEFQBhPFU
Rocket Ship,Dark Trap,Energized,spotify:track:4HfaOznGhHYWqPtpLYz2PB
Trap (feat. Lil Baby),Dark Trap,Energized,spotify:track:0mnVrUP1TAoO223C0N2NYI
Drip Too Hard (Lil Baby & Gunna),Dark Trap,Energized,spotify:track:78QR3Wp35dqAhFEc2qAGjE
Snow Globe (feat. NAV) - Remix,Dark Trap,Energized,spotify:track:4mIXmsA9lwT7sk8rkrnEFE
1000,Dark Trap,Calm,spotify:track:5J7oY1Dn3fME9mUEsZtGvd
Henny,Dark Trap,Happy,spotify:track:6Shhh5DVoTBp9KWV1hsba2
Droptop in the Rain (feat. Tory Lanez),Dark Trap,Energized,spotify:track:2ZN1EnypRwsD38EoFRwmu9
Flexin,Dark Trap,Calm,spotify:track:65xzgxTCk4JcmhcHXtt7oL
HOOD,Dark Trap,Happy,spotify:track:3x5F5wMcutQ4Fluez44tZm
For My Bros,Dark Trap,Energized,spotify:track:1CJzOLz3J4zhXSj3MFOmD5
Dope Game,Dark Trap,Energized,spotify:track:20BSdaBpIUvUv6PUvqJN8l
Every Season,Dark Trap,Energized,spotify:track:1ttPzkTSpQUFcEGx8bjerL
LOST (feat. Kid Cudi),Dark Trap,Calm,spotify:track:2H5CLUmtvo2VHEeWzMtUqW
SPEEDBOAT,Dark Trap,Energized,spotify:track:2FTOLKjQUswhpdMFq15Raf
No Heart,Dark Trap,Energized,spotify:track:4gmmRb6bZJffOOiww1JGTO
Secure The Bag,Dark Trap,Energized,spotify:track:7gHZGXSJzM29WA384suYY2
STARGAZING,Dark Trap,Happy,spotify:track:7wBJfHzpfI3032CSD7CE2m
Blue Faces,Dark Trap,Calm,spotify:track:2JuKanDBTFLx1rVuypB8tQ
Codeine Crazy,Dark Trap,Energized,spotify:track:0joQFwiBKmi6X1Iq5R1ubH
Who Shot Johnny?,Dark Trap,Energized,spotify:track:0et3KfGLKitEvAnvzIa4X0
Rari (feat. Future),Dark Trap,Happy,spotify:track:0M52bTppxI3QQxan8ftIsY
Days,Dark Trap,Calm,spotify:track:1u6rWB9oU2ngLcidsACqsM
Ridin Strikers,Dark Trap,Calm,spotify:track:6PHbWsTTlmQKF9i9VC1KFv
Mask Off (feat. Kendrick Lamar) - Remix,Dark Trap,Calm,spotify:track:6dVZCbi9CYtD9LjAHXRjIG
Swimming Pools (Drank),Dark Trap,Happy,spotify:track:6REbwUNlppTfcnV4d4ZoZi
Lies About You (feat. Lil Durk),Dark Trap,Energized,spotify:track:3vCzerngFaftC640dbuh8B
Day for Day,Dark Trap,Calm,spotify:track:0rGipWrGwAnZsaVkyiJpap
Neptun,Dark Trap,Calm,spotify:track:09GFuRGVmdfKNuGNcRxEJP
MiAMi (feat. Gunna),Dark Trap,Happy,spotify:track:3Z52thjMFyjbF5L35dcBwG
Swervin (feat. 6ix9ine),Dark Trap,Happy,spotify:track:1wJRveJZLSb1rjhnUHQiv6
12,Dark Trap,Calm,spotify:track:4JRe23RYB0fN3rkYj1Uqm2
Hardly,Dark Trap,Happy,spotify:track:7EtAE242kivzlxxOAL29bS
Savage,Dark Trap,Energized,spotify:track:5yBkL33OP3NXvlBWZa6su4
SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D],Dark Trap,Energized,spotify:track:6b4A1mLzePAHGn3XCicLAe
Glock In My Lap,Dark Trap,Energized,spotify:track:6pcywuOeGGWeOQzdUyti6k
Richard Millie Plain,Dark Trap,Calm,spotify:track:14PWHDV87nXiSuClZDsEYC
I Get the Bag (feat. Migos),Dark Trap,Energized,spotify:track:1XRgIKC5TPwo7nWGyKqgG0
Thought It Was a Drought,Dark Trap,Energized,spotify:track:5ihDGnhQgMA0F0tk9fNLlA
ULT,Dark Trap,Energized,spotify:track:5BSz8sJO2YmKfNVQG7fq2J
Love Sosa,Dark Trap,Calm,spotify:track:01Lr5YepbgjXAWR9iOEyH1
F&N,Dark Trap,Energized,spotify:track:5YP6yKgGGsXKukqxXypVAf
Remember Me,Dark Trap,Energized,spotify:track:5lz22ruIyhbvO7Qw2Mt157
Murder On My Mind,Dark Trap,Energized,spotify:track:7eBqSVxrzQZtK2mmgRG6lC
Tunnel Vision,Dark Trap,Calm,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4
Ready (feat. Gunna),Dark Trap,Calm,spotify:track:4F6yN5FsFW10Ucx7cLCzBh
Life Goes On,Dark Trap,Energized,spotify:track:2bSk87AVkCIIC3Bcligq1z
CLOUT COBAIN | CLOUT CO13A1N,Dark Trap,Calm,spotify:track:2LNMhZ3YijTO7USmqjgJfG
Respect the Game,Dark Trap,Happy,spotify:track:6pUBrvKfJL4qmn95mxU7rC
beibs in the trap,Dark Trap,Energized,spotify:track:0ESJlaM8CE1jRWaNtwSNj8
Underdog (Lil Baby & Gunna),Dark Trap,Energized,spotify:track:2Am26UXisQ91vBLYdqd7Pa
Crushed Up,Dark Trap,Energized,spotify:track:7wcyO1rrH3Ru4t659IjG41
Dance For Me (feat. NAV),Dark Trap,Calm,spotify:track:2MyCT1iCuBUhcO8zbjOyRW
Slidin,Dark Trap,Energized,spotify:track:7fxSLnklnayJNBIKntXedZ
DIRTY DIANA,Dark Trap,Energized,spotify:track:5pL7AIud5STzlQBlTJp7WT
Chicken Soup,Dark Trap,Energized,spotify:track:4HXydnNLWEAASziH3965ZE
Risky,Dark Trap,Energized,spotify:track:5zsQiqQgr5Ta70y2czV280
break da law,Dark Trap,Energized,spotify:track:1SHei85qV8JtytFwJq3MkF
Gook,Dark Trap,Happy,spotify:track:1T5mVPJE6LilJ7f73L3UDo
Pure Cocaine,Dark Trap,Energized,spotify:track:577YBGuskWkVDCxZrLRB4v
Real in My Veins (feat. T-Shyne),Dark Trap,Energized,spotify:track:6yMU8B5bngQpBBcYaFWqBC
Nolia (feat. Kevin Gates),Dark Trap,Energized,spotify:track:0oK6aZFtGPCCQ83lChpGO3
ONCE UPON A TIME (FREESTYLE),Dark Trap,Energized,spotify:track:7hZoTr4ffMGqm9opMiGmBp
PEN,Dark Trap,Calm,spotify:track:7C3Q2ZwTi8Uv5egru4g03j
What You Want,Dark Trap,Calm,spotify:track:1q9q1qYxWEumKDEcSq5ztg
Analog Keys,Dark Trap,Energized,spotify:track:7yMvF3mjdsFStdOiMpiFNx
Purple Baguettes,Dark Trap,Calm,spotify:track:4fga12MJbUa7ShmyJKHeIJ
Demons and Angels (feat. Juice WRLD),Dark Trap,Energized,spotify:track:3L19besdNQzd342qL78xqm
Slow Motion,Dark Trap,Happy,spotify:track:2JTF8oe4V274JR1WnOW4Jl
Dem Callin' (feat. Ramriddlz),Dark Trap,Energized,spotify:track:7e5WppzulpdTKAQu7uUNch
